<head>

Song Title : 
Duration :
Tempo :
Difficulty :
Credits (If there is copyright) : 

</head>

/* 

For body the format should be like this :

type,color,posx,posy,direction,duration,time

Explaination : 

- Type has two integers, either 0 or 1, with 0 is swipe, and 1 is hold
- Posx and posy means the position x and position y
- Direction means which direction will you have to swipe to
- Duration is for hold only, fill in 0 for swipe, means how long do we have to hold the note before swiping it
- Time means when the note will be instantiated, in other words, where the note will be seen in the screen


*/
<body>
0,#FFFFFF,-2.47,-0.04,w,0,0.66
0,#FFFFFF,-2.47,-0.04,w,0,1.02
0,#FFFFFF,-2.47,-0.04,w,0,1.39
0,#FFFFFF,-2.47,-0.04,w,0,1.62
0,#FFFFFF,-2.47,-0.04,w,0,2.12
0,#FFFFFF,-2.47,-0.04,w,0,2.57
0,#FFFFFF,-2.47,-0.04,w,0,2.93
0,#FFFFFF,-2.47,-0.04,w,0,3.30
0,#FFFFFF,-2.47,-0.04,w,0,3.50
0,#FFFFFF,-2.47,-0.04,w,0,4.00
0,#FFFFFF,-2.47,-0.04,w,0,4.43
0,#FFFFFF,-2.47,-0.04,w,0,4.81
0,#FFFFFF,-2.47,-0.04,w,0,5.14
0,#FFFFFF,-2.47,-0.04,w,0,5.38
0,#FFFFFF,-2.47,-0.04,w,0,5.84
0,#FFFFFF,-2.47,-0.04,w,0,6.34
0,#FFFFFF,-2.47,-0.04,w,0,6.70
0,#FFFFFF,-2.47,-0.04,w,0,7.00
0,#FFFFFF,-2.47,-0.04,w,0,8.22
0,#FFFFFF,-2.47,-0.04,w,0,8.58
0,#FFFFFF,-2.47,-0.04,w,0,8.91
0,#FFFFFF,-2.47,-0.04,w,0,9.11
0,#FFFFFF,-2.47,-0.04,w,0,9.54
0,#FFFFFF,-2.47,-0.04,w,0,10.06
0,#FFFFFF,-2.47,-0.04,w,0,10.46
0,#FFFFFF,-2.47,-0.04,w,0,10.79
0,#FFFFFF,-2.47,-0.04,w,0,11.05
0,#FFFFFF,-2.47,-0.04,w,0,11.49
0,#FFFFFF,-2.47,-0.04,w,0,11.98
0,#FFFFFF,-2.47,-0.04,w,0,12.33
0,#FFFFFF,-2.47,-0.04,w,0,12.7
0,#FFFFFF,-2.47,-0.04,w,0,12.93
0,#FFFFFF,-2.47,-0.04,w,0,13.40
0,#FFFFFF,-2.47,-0.04,w,0,13.83
0,#FFFFFF,-2.47,-0.04,w,0,15.47
0,#FFFFFF,-2.47,-0.04,w,0,15.71
0,#FFFFFF,-2.47,-0.04,w,0,16.17
0,#FFFFFF,-2.47,-0.04,w,0,16.67
0,#FFFFFF,-2.47,-0.04,w,0,17.33
0,#FFFFFF,-2.47,-0.04,w,0,17.81
0,#FFFFFF,-2.47,-0.04,w,0,18.28
0,#FFFFFF,-2.47,-0.04,w,0,18.78
0,#FFFFFF,-2.47,-0.04,w,0,19.24
0,#FFFFFF,-2.47,-0.04,w,0,19.67
0,#FFFFFF,-2.47,-0.04,w,0,19.91
0,#FFFFFF,-2.47,-0.04,w,0,20.39
0,#FFFFFF,-2.47,-0.04,w,0,21.09
0,#FFFFFF,-2.47,-0.04,w,0,21.58
0,#FFFFFF,-2.47,-0.04,w,0,22.02
0,#FFFFFF,-2.47,-0.04,w,0,22.96
0,#FFFFFF,-2.47,-0.04,w,0,23.2
0,#FFFFFF,-2.47,-0.04,w,0,23.69
