<head>

Song Title : 
Duration :
Tempo :
Difficulty :
Credits (If there is copyright) : 

</head>

/* 

For body the format should be like this :

type,color,posx,posy,direction,duration,time

Explaination : 

- Type has two integers, either 0 or 1, with 0 is swipe, and 1 is hold
- Posx and posy means the position x and position y
- Direction means which direction will you have to swipe to
- Duration is for hold only, fill in 0 for swipe, means how long do we have to hold the note before swiping it
- Time means when the note will be instantiated, in other words, where the note will be seen in the screen
- Please put x on the last time when you are stopping on making beatmap so the others know where you are

*/
<body>
0,#FFFFFF,0,3.4,w,0,0.8
0,#FFFFFF,0,1.4,x,0,1.54
0,#FFFFFF,0,-1.4,w,0,2.57
0,#FFFFFF,0,-3.4,x,0,3.50
0,#FFFFFF,-5.5,0,a,0,4.48
0,#FFFFFF,-2.5,-0,d,0,5.34
0,#FFFFFF,2.5,0,a,0,6.36
0,#FFFFFF,5.5,0,d,0,7.25
0,#FFFFFF,-2.5,0,w,0,8.18
0,#FFFFFF,-2.5,0,w,0,9.13
0,#FFFFFF,-2.5,0,w,0,10.09
0,#FFFFFF,-2.5,0,w,0,11.02
0,#FFFFFF,2.5,0,x,0,11.97
0,#FFFFFF,2.5,0,x,0,12.90
0,#FFFFFF,-2.5,0,a,0,13.81
0,#FFFFFF,2.5,0,d,0,13.81
0,#FFFFFF,-5,2.5,x,0,15.69
0,#FFFFFF,-2.5,2.5,x,0,16.72
0,#FFFFFF,2.5,2.5,x,0,17.65
0,#FFFFFF,5,2.5,x,0,18.53
0,#FFFFFF,-5,-2.5,w,0,19.46
0,#FFFFFF,-2.5,-2.5,w,0,20.42
0,#FFFFFF,2.5,-2.5,w,0,21.40
0,#FFFFFF,5,-2.5,w,0,22.30
0,#FFFFFF,-5.5,0,a,0,23.21
0,#FFFFFF,-2.5,0,a,0,24.11
0,#FFFFFF,2.5,0,d,0,25.09
0,#FFFFFF,5.5,0,d,0,25.92
0,#FFFFFF,-2.5,2.5,w,0,26.89
0,#FFFFFF,2.5,2.5,w,0,27.90
0,#FFFFFF,-2.5,-2.5,x,0,28.83
0,#FFFFFF,2.5,-2.5,x,0,28.83
1,#FFFFFF,-6,2.5,e,32.58,30.71
0,#FFFFFF,0,0,w,0,31.60,remove for hold 
0,#FFFFFF,0,0,w,0,32.58,remove for hold
0,#FFFFFF,6,2.5,w,35.42,33.51
0,#FFFFFF,0,0,w,0,34.42,remove for hold
0,#FFFFFF,0,0,w,0,35.42,remove for hold
0,#FFFFFF,0,0,w,0,36.32
0,#FFFFFF,0,0,w,0,37.26
0,#FFFFFF,0,0,w,0,38.19
0,#FFFFFF,0,0,w,0,39.11
0,#FFFFFF,0,0,w,0,40.10
0,#FFFFFF,0,0,w,0,41.02
0,#FFFFFF,0,0,w,0,41.91
0,#FFFFFF,0,0,w,0,42.85
0,#FFFFFF,0,0,w,0,43.83
0,#FFFFFF,0,0,w,0,44.76
0,#FFFFFF,0,0,w,0,45.69
0,#FFFFFF,0,0,w,0,46.62
0,#FFFFFF,0,0,w,0,47.60
0,#FFFFFF,0,0,w,0,48.53
0,#FFFFFF,0,0,w,0,49.44
0,#FFFFFF,0,0,w,0,50.40
0,#FFFFFF,0,0,w,0,51.30
0,#FFFFFF,0,0,w,0,52.28
0,#FFFFFF,0,0,w,0,53.18
0,#FFFFFF,0,0,w,0,53.64
0,#FFFFFF,0,0,w,0,54.07
