<head>
SongTitle:Body Talk
Duration:123
Tempo:128
Difficulty:Hard
Credits(If there is copyright):M2U, Cytus II, Rayark 

</head>

/* 

For body the format should be like this :

type,color,posx,posy,direction,duration,time

Explaination : 

- Type has two integers, either 0 or 1, with 0 is swipe, and 1 is hold
- Posx and posy means the position x and position y
- Direction means which direction will you have to swipe to
- Duration is for hold only, fill in 0 for swipe, means how long do we have to hold the note before swiping it
- Time means when the note will be instantiated, in other words, where the note will be seen in the screen


*/
<body>
0,#FFFFFF,0,0,w,0,0.697546005249023
0,#FFFFFF,-6,3,x,0,1.16257286071777
0,#FFFFFF,-6,1,x,0,1.44491195678711
0,#FFFFFF,-6,-1,w,0,1.67742729187012
0,#FFFFFF,-6,-3,w,0,2.14270973205566
0,#FFFFFF,0,0,x,0,2.60778999328613
0,#FFFFFF,6,3,w,0,3.0728702545166
0,#FFFFFF,6,1,w,0,3.30541229248047
0,#FFFFFF,6,-1,a,0,3.5711784362793
0,#FFFFFF,6,-3,d,0,4.06948089599609
0,#FFFFFF,0,0,a,0,4.55117034912109
0,#FFFFFF,0,0,d,0,4.55117034912109
0,#FFFFFF,-3,2,a,0,5.04947853088379
0,#FFFFFF,-1,2,a,0,5.28201866149902
0,#FFFFFF,1,2,d,0,5.51454734802246
0,#FFFFFF,3,2,d,0,5.97962951660156
0,#FFFFFF,0,0,x,0,6.41149139404297
0,#FFFFFF,-6,-2,d,0,6.8765811920166
0,#FFFFFF,-4,-2,d,0,7.12573432922363
0,#FFFFFF,-2,-2,d,0,7.3581657409668
0,#FFFFFF,4,-2,a,0,7.69036865234375
0,#FFFFFF,6,-2,a,0,8.05577087402344
0,#FFFFFF,0,3,w,0,8.28830718994141
0,#FFFFFF,0,0,c,0,8.75334930419922
0,#FFFFFF,0,0,c,0,8.98588562011719
0,#FFFFFF,0,0,z,0,9.21840286254883
0,#FFFFFF,0,0,z,0,9.65026473999023
0,#FFFFFF,0,-2,x,0,10.1485710144043
0,#FFFFFF,-4,0,a,0,10.6136741638184
0,#FFFFFF,-4,0,a,0,10.8627548217773
0,#FFFFFF,-4,0,a,0,11.0952911376953
0,#FFFFFF,-4,0,a,0,11.5603675842285
0,#FFFFFF,4,0,d,0,12.0254745483398
0,#FFFFFF,4,0,d,0,12.4573631286621
0,#FFFFFF,0,0,q,0,12.7231369018555
0,#FFFFFF,0,0,e,0,12.9556922912598
0,#FFFFFF,0,0,w,0,13.4207992553711
0,#FFFFFF,0,0,z,0,13.8859024047852
0,#FFFFFF,0,0,c,0,13.8859024047852
0,#FFFFFF,-6,3,c,0,15.5968246459961
0,#FFFFFF,-4,1,c,0,15.7629318237305
0,#FFFFFF,-2,-1,c,0,16.2607879638672
0,#FFFFFF,0,-3,q,0,16.7258949279785
0,#FFFFFF,6,1,c,0,17.4235725402832
0,#FFFFFF,5,-1,q,0,17.8720779418945
0,#FFFFFF,4,1,c,0,18.1376724243164
0,#FFFFFF,3,-1,q,0,18.3701362609863
0,#FFFFFF,2,1,c,0,18.8018074035645
0,#FFFFFF,-2,0,e,0,19.632438659668
0,#FFFFFF,0,0,z,0,19.9147720336914
0,#FFFFFF,2,0,e,0,20.1472816467285
0,#FFFFFF,-6,-2,a,0,21.110538482666
0,#FFFFFF,6,-2,d,0,21.110538482666
0,#FFFFFF,-6,0,a,0,21.6419868469238
