<head>

SongTitle:il vento d'oro
Duration:123
Tempo:128
Difficulty:Easy
Credits(If there is copyright):

</head>

/* 

For body the format should be like this :

type,color,posx,posy,direction,duration,time

Explaination : 

- Type has two integers, either 0 or 1, with 0 is swipe, and 1 is hold
- Posx and posy means the position x and position y
- Direction means which direction will you have to swipe to
- Duration is for hold only, fill in 0 for swipe, means how long do we have to hold the note before swiping it
- Time means when the note will be instantiated, in other words, where the note will be seen in the screen


*/
<body>
0,#706ee2,0,0,x,0,0.7231559753418
0,#7d7beb,0,0,x,0,0.9889106750488
0,#a782f0,0,0,x,0,1.4539604187012
0,#a782f0,0,0,x,0,1.6864204406738
0,#c981ef,-4,0,a,0,2.6498374938965
0,#fff5aa,-2,0,d,0,3.1654426574707
0,#7fcaee,0,0,w,0,3.7291969299316
0,#7fcaee,2,0,x,0,4.0585224914551
0,#a782f0,0,-3,d,0,5.4570198059082
0,#a57fee,-3,-3,a,0,5.6729621887207
0,#817fee,0,0,q,0,6.3373908996582
0,#90f9e0,0,0,c,0,6.702823638916
0,#92d9fa,0,0,c,0,7.0682640075684
0,#7fcaee,0,0,q,0,7.366577911377
0,#8281ef,-2,0.5,w,0,8.2471199035645
0,#f386d7,-1,-0.5,x,0,8.4796485900879
0,#cb83f1,2,0.5,w,0,8.9447288513184
0,#cb83f1,1,-0.5,x,0,9.1772651672363
0,#7e7dec,0,-3,w,0,9.4430274963379
0,#c08bf6,-3,2,x,0,10.1074180603027
0,#c08bf6,-1,2,x,0,10.1074180603027
0,#84cef1,1,-2,x,0,10.8396171569824
0,#84cef1,3,-2,x,0,10.8396171569824
0,#82ccf0,3,2,d,0,11.3867164611816
0,#8281ef,2,1,a,0,11.7472604064941
0,#f58abb,3,0,d,0,12.0507774353027
0,#f58abb,2,-1,a,0,12.2500877380371    
0,#ab86f2,-2,1,w,0,12.715160369873
0,#f183d5,0,-1,x,0,12.9643058776855
1,#c87fee,0,-3,w,17.3659019470215,13.961922454834
1,#c87fee,3,-3,w,17.3659019470215,13.961922454834
0,#a57fee,-1,0,w,0,16.4357566833496
0,#f081d4,1,0,x,0,16.635082244873
0,#c87fee,2,2,d,0,17.3659019470215
0,#8af5dc,0,2,a,0,17.6150550842285
0,#8af5dc,-2,2,d,0,17.9804649353027
0,#7dc9ed,3,0,x,0,18.9412312634234
0,#8bf69c,3,0,x,0,19.43123123141
0,#8bf69c,3,0,x,0,19.73123123141
0,#a47fee,3,0,x,0,20.33123123141
0,#f183d5,3,0,x,0,20.63123123141
0,#8ef8df,-3,3,a,0,21.31123123414
0,#85a8f2,-3,0,a,0,22.0712343251
0,#8180ee,-3,-3,a,0,22.7754745641
0,#7da1ed,-1,1,w,0,23.2012315123
0,#f183d5,2,2,w,0,24.1274564243
0,#88f4db,2,0,w,0,25.0537123834
0,#7fcbee,0,0,x,0,25.761237348
0,#f082b5,0,0,w,0,26.9612447345123
0,#f082d4,0,0,w,0,27.877454572
1,#b996fd,-3,0,x,32.3475639343262,28.807324126176
1,#b996fd,0,0,x,32.3475639343262,28.8023734735
1,#b996fd,3,0,x,32.3475639343262,28.801254735345
0,#f387d8,0,-3,w,0,30.8690544128418
0,#8785f2,0,-3,w,0,31.1612763977051
0,#8785f2,0,-3,w,0,31.4667091369629
0,#b996fd,-3,-3,a,0,32.1475639343262
0,#b996fd,3,-3,d,0,32.1475639343262
